Position,Company,City,Posted,Company Industry,JobText,Job Role,Career Level,Years of Experience,Degree,Soft_Skills,Hard_Skills
مدير إنتاج صيصان,Confidential Company,Bahrain,6 hours ago,Food & Beverage Production,"مدير إنتاج صيصان لإدارة المفرخةوضع برامج التفريخ ورفع نسب الفقسمتابعة العمليات اليومية لانتاج الصوص وتوصيله للمزارعالدعم الفني للمزارع
القيادةالرغبة في التطويرمتخصص في عمليات التفريخ وانتاج أجود أنواع الصوص",Manufacturing,,Min: 5 Max: 15,Bachelor's degree / higher diploma,,
Senior Executive-Talent Acquisition,Kalaam Telecom,Bahrain,8 hours ago,Telecommunications,"kalaam telecom aims to deliver tailored b2b digital transformation solutions that disrupt the gcc technology sector. the leading pan-arab managed solutions provider for digital transformation with over three decades of accumulated experience, kalaam is the preferred one stop destination for agile and cutting-edge digital solutions, tailored for sme’s, large enterprises, wholesale business segments and government bodies— with sector specialized consultancy and expertise, while also offering global enterprise solutions.job purpose:kalaam telecom always looking to strengthen our organization by adding the best available talent to our staff. we’re seeking a talent acquisition specialist to help us source, identify, screen, and hire individuals for various roles in our company.our ideal candidate will have excellent communication and organizational skills, 3-6 years experience in talent acquisition, proficiency in applicant tracking systems, and the ability to devise sourcing strategies for potential applicants. this role requires a candidate with excellent interpersonal skills as you’ll often be asked to work closely with others across different departments.objectives of this role•       input into overall hiring strategy of the organization to ensure our teams consist of a diverse set of qualified individuals•       ensure the staffing needs of the company are being met, with a long-term talent strategy in mind•       devise and implement sourcing strategies to build pipelines of potential applicants, such as employer branding initiatives•       create and implement end-to-end candidate hiring processes to ensure a positive experience•       form close relationships with hiring managers to ensure clear candidate/interviewer expectationsdaily and monthly responsibilities•       coordinate with hiring managers to identify staffing needs in different areas and departments•       determine selection criteria for candidates by liaising with managers and other members of staff•       source applicants through online channels, such as linkedln and other professional networks•       create job descriptions and interview questions that reflect the requirements for each position•       identify and refine down the most suitable talent from available candidates•       plan interview and selection procedures, including screening calls, assessments, and in-person interviews — if possible•       assess candidates’ information, including c.vs., portfolios and references•       organize and attend job fairs and recruitment events to build a strong candidate pipeline•       keep records of all materials used for recruitment, including interview notes and related paperwork, to share with key stakeholders•       support the full onboarding process for the employees•       coordinate with government entities like mol, ministry of youth and tamkeen to get cvs and enroll the staff under wage subsidy programs.
•       work experience in talent acquisition or similar roles•       familiarity with social media, c.v. databases, and professional networks•       experience with full-cycle recruiting, using various interview techniques and evaluation methods•       knowledge of applicant tracking systems•       experience in using linkedln talent solutions to proactively source candidates•       a keen understanding of the requirements for each role in the company•       proficiency in documenting processes and keeping up with industry trends•       excellent interpersonal and communication skillspreferred qualifications•       bachelor's degree in human resources management, or similar•       2-3 years of experience as a talent acquisition specialist, or similar•       certification obtained from the hr certification institute would be advantageous",Human Resources and Recruitment,,Min: 2 Max: 6,Bachelor's degree / higher diploma, organizational skills,
Senior Executive-Talent Acquisition,Kalaam Telecom,Bahrain,8 hours ago,Telecommunications,"kalaam telecom aims to deliver tailored b2b digital transformation solutions that disrupt the gcc technology sector. the leading pan-arab managed solutions provider for digital transformation with over three decades of accumulated experience, kalaam is the preferred one stop destination for agile and cutting-edge digital solutions, tailored for sme’s, large enterprises, wholesale business segments and government bodies— with sector specialized consultancy and expertise, while also offering global enterprise solutions.job purpose:kalaam telecom always looking to strengthen our organization by adding the best available talent to our staff. we’re seeking a talent acquisition specialist to help us source, identify, screen, and hire individuals for various roles in our company.our ideal candidate will have excellent communication and organizational skills, 3-6 years experience in talent acquisition, proficiency in applicant tracking systems, and the ability to devise sourcing strategies for potential applicants. this role requires a candidate with excellent interpersonal skills as you’ll often be asked to work closely with others across different departments.objectives of this role•       input into overall hiring strategy of the organization to ensure our teams consist of a diverse set of qualified individuals•       ensure the staffing needs of the company are being met, with a long-term talent strategy in mind•       devise and implement sourcing strategies to build pipelines of potential applicants, such as employer branding initiatives•       create and implement end-to-end candidate hiring processes to ensure a positive experience•       form close relationships with hiring managers to ensure clear candidate/interviewer expectationsdaily and monthly responsibilities•       coordinate with hiring managers to identify staffing needs in different areas and departments•       determine selection criteria for candidates by liaising with managers and other members of staff•       source applicants through online channels, such as linkedln and other professional networks•       create job descriptions and interview questions that reflect the requirements for each position•       identify and refine down the most suitable talent from available candidates•       plan interview and selection procedures, including screening calls, assessments, and in-person interviews — if possible•       assess candidates’ information, including c.vs., portfolios and references•       organize and attend job fairs and recruitment events to build a strong candidate pipeline•       keep records of all materials used for recruitment, including interview notes and related paperwork, to share with key stakeholders•       support the full onboarding process for the employees•       coordinate with government entities like mol, ministry of youth and tamkeen to get cvs and enroll the staff under wage subsidy programs.
•       work experience in talent acquisition or similar roles•       familiarity with social media, c.v. databases, and professional networks•       experience with full-cycle recruiting, using various interview techniques and evaluation methods•       knowledge of applicant tracking systems•       experience in using linkedln talent solutions to proactively source candidates•       a keen understanding of the requirements for each role in the company•       proficiency in documenting processes and keeping up with industry trends•       excellent interpersonal and communication skillspreferred qualifications•       bachelor's degree in human resources management, or similar•       2-3 years of experience as a talent acquisition specialist, or similar•       certification obtained from the hr certification institute would be advantageous",Human Resources and Recruitment,,Min: 2 Max: 6,Bachelor's degree / higher diploma, organizational skills, social media
Senior Executive-Talent Acquisition,Kalaam Telecom,Bahrain,8 hours ago,Telecommunications,"kalaam telecom aims to deliver tailored b2b digital transformation solutions that disrupt the gcc technology sector. the leading pan-arab managed solutions provider for digital transformation with over three decades of accumulated experience, kalaam is the preferred one stop destination for agile and cutting-edge digital solutions, tailored for sme’s, large enterprises, wholesale business segments and government bodies— with sector specialized consultancy and expertise, while also offering global enterprise solutions.job purpose:kalaam telecom always looking to strengthen our organization by adding the best available talent to our staff. we’re seeking a talent acquisition specialist to help us source, identify, screen, and hire individuals for various roles in our company.our ideal candidate will have excellent communication and organizational skills, 3-6 years experience in talent acquisition, proficiency in applicant tracking systems, and the ability to devise sourcing strategies for potential applicants. this role requires a candidate with excellent interpersonal skills as you’ll often be asked to work closely with others across different departments.objectives of this role•       input into overall hiring strategy of the organization to ensure our teams consist of a diverse set of qualified individuals•       ensure the staffing needs of the company are being met, with a long-term talent strategy in mind•       devise and implement sourcing strategies to build pipelines of potential applicants, such as employer branding initiatives•       create and implement end-to-end candidate hiring processes to ensure a positive experience•       form close relationships with hiring managers to ensure clear candidate/interviewer expectationsdaily and monthly responsibilities•       coordinate with hiring managers to identify staffing needs in different areas and departments•       determine selection criteria for candidates by liaising with managers and other members of staff•       source applicants through online channels, such as linkedln and other professional networks•       create job descriptions and interview questions that reflect the requirements for each position•       identify and refine down the most suitable talent from available candidates•       plan interview and selection procedures, including screening calls, assessments, and in-person interviews — if possible•       assess candidates’ information, including c.vs., portfolios and references•       organize and attend job fairs and recruitment events to build a strong candidate pipeline•       keep records of all materials used for recruitment, including interview notes and related paperwork, to share with key stakeholders•       support the full onboarding process for the employees•       coordinate with government entities like mol, ministry of youth and tamkeen to get cvs and enroll the staff under wage subsidy programs.
•       work experience in talent acquisition or similar roles•       familiarity with social media, c.v. databases, and professional networks•       experience with full-cycle recruiting, using various interview techniques and evaluation methods•       knowledge of applicant tracking systems•       experience in using linkedln talent solutions to proactively source candidates•       a keen understanding of the requirements for each role in the company•       proficiency in documenting processes and keeping up with industry trends•       excellent interpersonal and communication skillspreferred qualifications•       bachelor's degree in human resources management, or similar•       2-3 years of experience as a talent acquisition specialist, or similar•       certification obtained from the hr certification institute would be advantageous",Human Resources and Recruitment,,Min: 2 Max: 6,Bachelor's degree / higher diploma, management,
"Fresh Hiring For Civil Site Engineer / Mechanical Site Engineer ,Electrical Site Engineer",reeqwest,Bahrain,15 hours ago,Other Business Support Services," job summary fresher's degree holder, post graduate, diploma in site management. determining construction methods, materials and quality standards. to check quality of assigned materials. daily checking of labour engagement report. interested candidate can share your resume on ( scrbg.com.cnn1@gmail.com )
nan",,,Unspecified,Unspecified, management,
Marble Cleaner - Housekeeping,Marriott,"Manama, Bahrain",15 hours ago,Other Business Support Services,"job number 22117667 job category housekeeping &amp; laundry location the ritz-carlton bahrain, building 112 road 40, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management the impact you’ll make when a guest walks into any of our rooms – imagine that first look around they take. followed by that sigh of relief because they’ve arrived to their home away from home, be it for a night or a week, and it’s perfect. everything is exactly in its place. crisp, pressed linens. perfectly placed pillows. a sparkling mirror. every detail adding up to an experience our guests feel great about because they know they’re in good hands while staying with us. that’s the impact you make with your efforts, which become even bigger when those experiences add up and create a loyal customer. what you’ll do replace guest amenities and supplies in rooms make beds and fold sheets remove trash, dirty linens and room service items greet guests and take care of requests straighten desk items, furniture and appliances dust, polish and remove marks from walls and furnishings vacuum carpets and floor care duties perks you deserve we’ll support you in and out of the workplace by offering: team-spirited coworkers encouraging management wellbeing programs learning and development opportunities discounts on hotel rooms, gift shop items, food and beverage recognition programs what we’re looking for a warm, people-oriented demeanor a team-first attitude a gift for paying attention to the smallest details this role requires the ability to move and lift up to 25 lbs. standing, sitting or walking for extended periods of time and ensuring a professional demeanor, clear communication and appearance in a clean uniform are also required. prior to employment, we’ll ask you to complete safety training and certification. you’re welcome here our highest priority is making you feel as welcome as our guests. we want you to know you’re important to us and that you’ll make an impact in your role, and for that, you’ll be appreciated and valued. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. at more than 100 award-winning properties worldwide, the ritz-carlton ladies and gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. as the premier worldwide provider of luxury experiences, we set the standard for rare and special luxury service the world over. we invite you to explore the ritz-carlton.
nan",,,Unspecified,Unspecified, management,
Marble Cleaner - Housekeeping,Marriott,"Manama, Bahrain",15 hours ago,Other Business Support Services,"job number 22117667 job category housekeeping &amp; laundry location the ritz-carlton bahrain, building 112 road 40, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management the impact you’ll make when a guest walks into any of our rooms – imagine that first look around they take. followed by that sigh of relief because they’ve arrived to their home away from home, be it for a night or a week, and it’s perfect. everything is exactly in its place. crisp, pressed linens. perfectly placed pillows. a sparkling mirror. every detail adding up to an experience our guests feel great about because they know they’re in good hands while staying with us. that’s the impact you make with your efforts, which become even bigger when those experiences add up and create a loyal customer. what you’ll do replace guest amenities and supplies in rooms make beds and fold sheets remove trash, dirty linens and room service items greet guests and take care of requests straighten desk items, furniture and appliances dust, polish and remove marks from walls and furnishings vacuum carpets and floor care duties perks you deserve we’ll support you in and out of the workplace by offering: team-spirited coworkers encouraging management wellbeing programs learning and development opportunities discounts on hotel rooms, gift shop items, food and beverage recognition programs what we’re looking for a warm, people-oriented demeanor a team-first attitude a gift for paying attention to the smallest details this role requires the ability to move and lift up to 25 lbs. standing, sitting or walking for extended periods of time and ensuring a professional demeanor, clear communication and appearance in a clean uniform are also required. prior to employment, we’ll ask you to complete safety training and certification. you’re welcome here our highest priority is making you feel as welcome as our guests. we want you to know you’re important to us and that you’ll make an impact in your role, and for that, you’ll be appreciated and valued. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. at more than 100 award-winning properties worldwide, the ritz-carlton ladies and gentlemen create experiences so exceptional that long after a guest stays with us, the experience stays with them. as the premier worldwide provider of luxury experiences, we set the standard for rare and special luxury service the world over. we invite you to explore the ritz-carlton.
nan",,,Unspecified,Unspecified, training,
Waitress,Marriott,"Manama, Bahrain",15 hours ago,Other Business Support Services,"job number 22126396 job category food and beverage &amp; culinary location marriott executive apartments manama bahrain, building 864 road 2414 block 324, manama, bahrain, bahrain view on map schedule full-time located remotely? n relocation? n position type non-management position summary our jobs aren’t just about putting food on the table that our guests will enjoy until they ask for their bill. instead, we want to build an experience that is memorable and unique – with food and drinks on the side. our guest service experts take the initiative and deliver a wide range of services to make sure that guests enjoy their meal. whether setting tables, communicating with the kitchen, interacting and serving guests, or cleaning work areas and supplies, the guest service expert makes transactions feel like part of the experience. no matter what position you are in, there are a few things that are critical to success – creating a safe workplace, following company policies and procedures, upholding quality standards, and ensuring your uniform, personal appearance, and communications are professional. guest service experts will be on their feet and moving around (stand, sit, or walk for an extended time; moving over sloping, uneven, or slippery surfaces), managing the menu (read and visually verify information), and taking a hands-on approach to work (move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance and 50 pounds with assistance; reach overhead and below the knees, including bending, twisting, pulling, and stooping). doing all these things well (and other reasonable job duties as requested) is critical for guest service experts – to get it right for our guests and our business each and every time. marriott international is an equal opportunity employer. we believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. we are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. the world is a big place and marriott executive apartments offers corporate apartments in the biggest and best cities for business travel across europe, asia, latin america and the middle east. join the marriott executive apartments team and help our guests adapt to a new locale and feel comfortable and cared for while living away from home.
nan",,,Unspecified,Unspecified, management,
Sr. GIS Programmer,VAM Systems,"Manama, Bahrain",15 hours ago,Other Business Support Services,"job descriptionvam systems is currently looking for sr. gis programmer for our bahrain operations with the following skill set &amp; terms and conditions:skill set required:proven strong experience with arcgis server javascript apis.proven experience with arcgis server product family such as webapp builder, portal, datastore, etc..proven experience in developing end-to-end gis web mapping applications.proven experience in javascript frameworks and libraries such as angularjs, jquery, dojo.arcgis server security and authentication techniques.python experience is a plus.terms and conditionsjoining time frame: 2 weeks (maximum 1 month) additional informationterms and conditions: joining time frame:   maximum 4 weeks  
nan",,,Unspecified,Unspecified,,gis
Fitness Instructor,Four Seasons,Bahrain,15 hours ago,Other Business Support Services,"overview:the fitness instructor will be responsible for providing assistance to guests in all aspects of fitness and well being. this will include classes, specific training, inductions and general gym monitoring and cleanliness. this role will also include assistance as and when required with other parts of the spa particularly with regard to daily operations. in addition, following the completion of training.requirements:the ideal fitness instructor candidate will have an outgoing personality and a can-do approach to any task.previous experience within luxury hospitality preferablethe following skills are required for a fitness instructor:experienced and qualified fitness instructor with pt qualification.qualifications in studio classes including exercise to music appreciated.excellent communication skills and the ability to take a proactive approach to understanding guests needs and desires.exceptional customer service skills.fluency in english required and arabic is preferable.
nan",,,Unspecified,Unspecified, training,
